,id,isrc,track,artists,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
841,4G8gkOterJn0Ywt6uhqbhp,USUM71201074,Radioactive,['Imagine Dragons'],Night Visions,2012-09-04,2012,186813,False,76,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245
842,01XFgRZfZI7oBagNf1Loml,USZ4V1200043,Harlem Shake,['Baauer'],Harlem Shake,2013-02-12,2013,196664,False,58,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825
843,22skzmqfdWrjJylampe0kt,GMM881200002,Can't Hold Us (feat. Ray Dalton),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']",The Heist,2012-10-09,2012,258431,False,87,0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097
844,4rHZZAmHpZrA3iH5zx8frV,USRC11300059,Mirrors,['Justin Timberlake'],The 20/20 Experience (Deluxe Version),2013-03-15,2013,484146,False,85,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899
845,1mKXFLRA179hdOWQBwUk9e,USRC11200786,Just Give Me a Reason (feat. Nate Ruess),"['P!nk', 'Nate Ruess']",The Truth About Love,2012-09-18,2012,242733,False,85,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
846,0nJW01T7XtvILxQgC5J7Wh,USAT21206701,When I Was Your Man,['Bruno Mars'],Unorthodox Jukebox,2012-12-07,2012,213826,False,92,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795
847,0jHSdjxn9LfzNL0WkDu93W,USUM71303140,Cruise - Remix,"['Florida Georgia Line', 'Nelly']",Here's To The Good Times...This Is How We Roll,2013-01-01,2013,208786,False,57,0.525,0.915,0,-4.351,0,0.0789,0.0156,0.0,0.66,0.623,149.042
848,27tNWlhdAryQY04Gb2ZhUI,USUM71308669,Roar,['Katy Perry'],PRISM,2013-01-01,2013,223546,False,82,0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003
849,27tNWlhdAryQY04Gb2ZhUI,USUM71308669,Roar,['Katy Perry'],PRISM,2013-01-01,2013,223546,False,82,0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003
850,3w3y8KPTfNeOKPiqUTakBh,USAT21203287,Locked out of Heaven,['Bruno Mars'],Unorthodox Jukebox,2012-12-07,2012,233478,False,92,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994
851,0W4Kpfp1w2xkY3PrV714B7,USDMG1260805,Ho Hey,['The Lumineers'],The Lumineers,2012-04-03,2012,163133,False,79,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
852,0W4Kpfp1w2xkY3PrV714B7,USDMG1260805,Ho Hey,['The Lumineers'],The Lumineers,2012-04-03,2012,163133,False,79,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
853,789CxjEOtO76BVD1A9yJQH,USUM71214758,Stay,"['Rihanna', 'Mikky Ekko']",Unapologetic (Edited Version),2012-01-01,2012,240706,False,75,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893
854,78NwNb2BPO7OKDYYRWB1WT,USQX91301322,Get Lucky - Daft Punk Remix,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers', 'Florian Lagatta']",Get Lucky (Daft Punk Remix) (feat. Pharrell Williams & Nile Rodgers),2013-06-26,2013,632693,False,37,0.821,0.793,6,-9.003,0,0.0391,0.0267,1.37e-05,0.0751,0.912,116.009
855,2dLLR6qlu5UJ5gk0dKz0h3,NZUM71200031,Royals,['Lorde'],Pure Heroine,2013-09-27,2013,190185,False,83,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878
856,2dLLR6qlu5UJ5gk0dKz0h3,NZUM71200031,Royals,['Lorde'],Pure Heroine,2013-09-27,2013,190185,False,83,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878
857,6AtZLIzUINvExIUy4QhdjP,USUG12103664,I Knew You Were Trouble (Taylor's Version),['Taylor Swift'],Red (Taylor's Version),2021-11-12,2021,219760,False,80,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008
858,2y4lAQpi5VTNLu2ldeTdUH,USRC11300686,We Can't Stop,['Miley Cyrus'],Bangerz (Deluxe Version),2013-10-04,2013,231240,False,81,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003
859,2vwlzO0Qp8kfEtzTsCXfyE,USRC11301214,Wrecking Ball,['Miley Cyrus'],Bangerz (Deluxe Version),2013-10-04,2013,221360,False,83,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964
860,2vwlzO0Qp8kfEtzTsCXfyE,USRC11301214,Wrecking Ball,['Miley Cyrus'],Bangerz (Deluxe Version),2013-10-04,2013,221360,False,83,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964
861,0nrRP2bk19rLc0orkWPQk2,SEUM71301326,Wake Me Up,['Avicii'],True,2013-01-01,2013,247426,False,89,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
