playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Hip Hop,5A6OHHy73AR5tLxgTc98zz,Black and Yellow,['Wiz Khalifa'],Rolling Papers,2011-03-29,2011,217666,True,78,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02
The Sound of Hip Hop,3Vj8RQkFwOmDvUrwu6MtQZ,"Yo Love - From ""Queen & Slim: The Soundtrack""","['Vince Staples', '6LACK', 'Mereba']","Yo Love (From ""Queen & Slim: The Soundtrack"")",2019-11-11,2019,143830,True,64,0.703,0.573,0,-9.032,1,0.0724,0.565,3.13e-06,0.0987,0.491,147.038
The Sound of Hip Hop,42zd6DYQ4o4SECmTITrM1U,Dreams and Nightmares,['Meek Mill'],Dreams and Nightmares (Deluxe Edition),2012-10-26,2012,230693,True,78,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745
The Sound of Hip Hop,2UVbBKQOdFAekPTRsnkzcf,Stir Fry,['Migos'],Culture II,2018-01-26,2018,190288,True,78,0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982
The Sound of Hip Hop,0ZsjZirRsHOWUhOkl69JiR,Sosa,['AZ'],Pieces Of A Man,1998-04-07,1998,125373,True,54,0.869,0.584,4,-8.333,0,0.0966,0.0664,0.000556,0.158,0.235,90.066
The Sound of Hip Hop,2iclfHORMqpR3TxuhwVRhD,Mesmerize,"['Ja Rule', 'Ashanti']",The Last Temptation,2002-01-01,2002,278720,True,67,0.764,0.648,1,-6.639,1,0.206,0.0563,0.0,0.414,0.391,90.1
The Sound of Hip Hop,5eV0XIpuWFS8H7OYDDxA4E,If You Must,['Del The Funky Homosapien'],Both Sides Of The Brain,2000-01-01,2000,225400,True,44,0.778,0.835,7,-7.201,1,0.244,0.0529,0.0,0.368,0.736,96.882
The Sound of Hip Hop,7M2tXmeS15NAzEn7ABFeBg,Homicide (feat. Eminem),"['Logic', 'Eminem']",Confessions of a Dangerous Mind,2019-05-10,2019,245386,True,75,0.694,0.759,10,-5.667,0,0.398,0.137,0.0,0.167,0.77,140.055
The Sound of Hip Hop,5IUtvfNvOyVYZUa6AJFrnP,Spicy (feat. Post Malone),"['Ty Dolla $ign', 'Post Malone']",Featuring Ty Dolla $ign,2020-10-23,2020,143375,True,71,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993
The Sound of Hip Hop,2z9iuAxKv4TTeCrPAxxKg9,Love Lost,"['Mac Miller', 'The Temper Trap']","I Love Life, Thank You",2022-07-22,2022,162875,True,80,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829
The Sound of Hip Hop,4Gv46S98aguDKuKTrbRBus,Warm It Up,['Kris Kross'],Totally Krossed Out,1992-03-17,1992,248333,False,46,0.865,0.778,1,-10.05,1,0.249,0.0411,0.0,0.303,0.763,103.008
The Sound of Hip Hop,4lH6nENd1y81jp7Yt9lTBX,Solo,['Future'],HNDRXX,2017-07-27,2017,265996,True,85,0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964
The Sound of Hip Hop,39xWBHPM4E9MwzEy5gbM7p,Last Time That I Checc'd (feat. YG),"['Nipsey Hussle', 'YG']",Victory Lap,2018-02-16,2018,225573,True,65,0.711,0.746,1,-4.224,1,0.253,0.0289,0.0,0.371,0.279,96.024
The Sound of Hip Hop,0ZNrc4kNeQYD9koZ3KvCsy,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","['YG', '2 Chainz', 'Big Sean', 'Nicki Minaj']",STAY DANGEROUS,2018-08-03,2018,237240,True,66,0.745,0.346,1,-7.709,1,0.331,0.00552,0.0,0.0881,0.112,203.911
The Sound of Hip Hop,2yUzr8Sr6ldG8vmHhZwTnz,née-nah,"['21 Savage', 'Travis Scott', 'Metro Boomin']",american dream,2024-01-12,2024,220584,True,90,0.678,0.758,1,-6.524,1,0.227,0.00495,0.0,0.57,0.318,165.423
The Sound of Hip Hop,3KKrZ3adgWcJiJQWFqoDnv,Hip Hop Junkies,['Nice & Smooth'],Ain't A Damn Thing Changed,1991-01-01,1991,209160,False,41,0.926,0.427,6,-10.731,1,0.115,0.0258,0.000281,0.329,0.634,98.73
The Sound of Hip Hop,6UZS3KgNc0NF13bbtQTzD6,The Jump Off,"[""Lil' Kim""]",La Bella Mafia,2003-03-03,2003,234093,True,58,0.837,0.736,10,-8.367,0,0.378,0.225,0.0,0.0549,0.905,104.907
The Sound of Hip Hop,4WM1hvYr2NC6bQnQXcj3sH,Meat Grinder,"['Madvillain', 'Madlib', 'MF DOOM']",Madvillainy,2004-03-24,2004,131866,True,71,0.571,0.717,6,-8.333,1,0.336,0.359,3.12e-06,0.797,0.881,87.54
The Sound of Hip Hop,6LWpZmVDONqAqqf7fl8Lul,Make Room,['Tha Alkaholiks'],21 & Over,1993-08-24,1993,208666,True,38,0.727,0.489,1,-7.98,1,0.302,0.105,0.0,0.0666,0.227,96.413
The Sound of Hip Hop,74iAhjBEJ9PqlXxMSV73Ry,Slim's Return,['Madlib'],Shades Of Blue: Madlib Invades Blue Note,2003-06-24,2003,236306,False,43,0.517,0.663,2,-7.259,1,0.218,0.0408,0.0305,0.293,0.529,91.746
The Sound of Hip Hop,4EFxQ2V4NhYkN46eslYEWs,Top O' the Morning to Ya,['House Of Pain'],House of Pain (Fine Malt Lyrics),1992-07-21,1992,216319,True,56,0.827,0.619,1,-10.173,0,0.111,0.00365,0.0108,0.337,0.73,111.083
The Sound of Hip Hop,6sT9MWlJManry3EQwf4V80,Push It,['Salt-N-Pepa'],"Hot, Cool & Vicious",1986-12-08,1986,272133,False,71,0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215
The Sound of Hip Hop,2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,['Ms. Lauryn Hill'],The Miseducation of Lauryn Hill,1998-08-25,1998,326533,False,77,0.593,0.619,3,-9.003,0,0.0976,0.118,0.0,0.484,0.668,80.02
The Sound of Hip Hop,0EXm0iaB0CzqtsB3VaupXj,When the Last Time,['Clipse'],Lord Willin',2002-04-01,2002,254306,True,51,0.847,0.884,11,-3.326,1,0.245,0.514,0.0,0.303,0.845,99.036
The Sound of Hip Hop,72YEW9z8ke67115z6AK8PD,ooh la la (feat. Greg Nice & DJ Premier),"['Run The Jewels', 'El-P', 'Killer Mike', 'DJ Premier', 'Greg Nice']",RTJ4,2020-06-03,2020,183826,True,63,0.686,0.824,11,-5.413,1,0.34,0.157,0.0,0.242,0.405,170.079
The Sound of Hip Hop,2RPbEp0DyBVlkRvvYKopO7,Wat's Wrong (feat. Zacari & Kendrick Lamar),"['Isaiah Rashad', 'Zacari', 'Kendrick Lamar']",The Sun's Tirade,2016-09-02,2016,330783,True,72,0.706,0.688,1,-6.357,1,0.269,0.151,0.0,0.466,0.313,125.966
The Sound of Hip Hop,1265N14L1xyzKNr5XZzuTP,Make Your Move,['Hieroglyphics'],Full Circle,2003-01-01,2003,269386,True,49,0.807,0.625,1,-6.57,0,0.114,0.585,6.47e-06,0.11,0.756,94.064
The Sound of Hip Hop,0YkJU6TjjwzsVXUPRIO0DB,Make Me Better,"['Fabolous', 'Ne-Yo']",From Nothin' To Somethin' (Bonus Track Version),2007-01-01,2007,253573,True,63,0.607,0.599,11,-6.886,1,0.0995,0.33,0.0,0.199,0.562,86.491
The Sound of Hip Hop,7G3lxTsMfSx4yarMkfgnTC,The World Is Yours,['Nas'],Illmatic,1994-04-19,1994,290573,True,71,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374
The Sound of Hip Hop,0SwuCcwpFM6x4cu5zOvmi0,I Ain't No Joke,['Eric B. & Rakim'],Paid In Full,1987-07-07,1987,232760,False,56,0.854,0.706,11,-9.5,0,0.335,0.162,7.22e-06,0.0994,0.747,104.214
The Sound of Hip Hop,3glqlA5qY3bbo8UaUDGPnw,"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)","['Wu-Tang Clan', ""Ol' Dirty Bastard"", 'Inspectah Deck', 'Method Man', 'Cappadonna', 'U-God', 'RZA', 'GZA', 'Masta Killa', 'Ghostface Killah', 'Raekwon']",Wu-Tang Forever,1997-06-03,1997,338186,True,66,0.739,0.639,2,-6.959,1,0.358,0.000918,2.74e-05,0.352,0.323,91.121
The Sound of Hip Hop,0snDRsjNRMJhm7SVja8l6J,MC's Act Like They Don't Know,['KRS-One'],KRS-One,1995-10-10,1995,295933,True,58,0.855,0.798,1,-4.018,1,0.237,0.0101,0.000615,0.628,0.855,90.429
The Sound of Hip Hop,4HfxDJ0uLHTLe0fZrx0MbQ,Check the Rhime,['A Tribe Called Quest'],The Low End Theory,1991-09-24,1991,216693,False,68,0.881,0.361,11,-14.728,0,0.237,0.0502,0.00458,0.246,0.799,96.43
The Sound of Hip Hop,4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,['Mos Def'],Black On Both Sides,1999-10-12,1999,196440,True,59,0.592,0.861,1,-5.177,1,0.249,0.024,0.0,0.492,0.794,90.238
The Sound of Hip Hop,2WyLyygONxNBVtXCRLMjFY,Breakadawn,['De La Soul'],Buhloone Mindstate,1993-09-21,1993,255008,True,61,0.836,0.693,3,-7.02,1,0.289,0.0747,0.000298,0.117,0.538,95.923
The Sound of Hip Hop,6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean",['Outkast'],Stankonia,2000-10-31,2000,240026,True,75,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028
The Sound of Hip Hop,11aFVmFy8903RwDx4ohQiq,Be (Intro),['Common'],Be,2005-01-01,2005,144200,True,57,0.619,0.755,7,-8.439,0,0.0918,0.225,0.0,0.468,0.191,93.703
The Sound of Hip Hop,1yo16b3u0lptm6Cs7lx4AD,Fight The Power,['Public Enemy'],Fear Of A Black Planet,1990-04-10,1990,282640,True,57,0.797,0.582,2,-12.97,1,0.255,0.00484,2.04e-06,0.517,0.415,105.974
The Sound of Hip Hop,2n7h09QrGitVul66b2D8Re,Part II,"['Method Man', 'Redman']",How High,2001-01-01,2001,244600,True,60,0.775,0.837,10,-4.965,0,0.39,0.0383,0.0,0.315,0.807,95.86
The Sound of Hip Hop,1RjU7UhRICmdFPKxCucLgq,Hell on Earth (Front Lines),['Mobb Deep'],Hell On Earth,1996-11-19,1996,274093,True,67,0.875,0.658,0,-3.641,1,0.359,0.275,0.0,0.122,0.661,92.038
The Sound of Hip Hop,14yv7I9fU2jZSpYxsU1YEN,"Intoxicated (feat. Raekwon, Method Man & Macy Gray)","[""Ol' Dirty Bastard"", 'Raekwon', 'Method Man', 'Macy Gray']","Intoxicated (feat. Raekwon, Method Man & Macy Gray)",2018-11-15,2018,257066,True,47,0.895,0.57,6,-6.321,1,0.122,0.0578,0.0,0.05,0.766,88.217
The Sound of Hip Hop,5b0Gak5qksR19sPaKjlreH,Intro,['EPMD'],Out Of Business (Deluxe Edition),1999-01-01,1999,138560,True,45,0.53,0.821,1,-8.645,1,0.305,0.0301,0.000169,0.0624,0.631,176.068
The Sound of Hip Hop,1B53Y95tPd4ah4FExO0egE,What They Do,['The Roots'],Illadelph Halflife,1996-09-24,1996,357200,True,62,0.885,0.414,0,-10.539,1,0.168,0.341,0.000289,0.0891,0.683,92.727
The Sound of Hip Hop,0CtkjgZpkgnW7U6WmHsakD,It's Like That,"['Run–D.M.C.', 'Jason Nevins']",The Greatest Hits,2002-09-10,2002,250626,False,67,0.852,0.874,7,-11.208,1,0.0427,0.0168,0.45,0.133,0.666,129.029
The Sound of Hip Hop,5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,['The Notorious B.I.G.'],Ready to Die (The Remaster),1994-09-13,1994,302760,True,77,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063
The Sound of Hip Hop,5sNESr6pQfIhL3krM8CtZn,Numb / Encore,"['JAY-Z', 'Linkin Park']",Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,2004-11-30,2004,205733,True,82,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045
The Sound of Hip Hop,1k28sDTLOz942qa3wEtMQE,O.P.P,['Naughty By Nature'],Naughty By Nature,1991-09-03,1991,271066,False,66,0.848,0.838,4,-11.949,0,0.0721,0.0326,4.89e-06,0.124,0.787,97.736
The Sound of Hip Hop,5ED4wu4LKC0iNR28iMtAyv,Re:Definition,['Black Star'],Mos Def & Talib Kweli Are Black Star,1998-09-29,1998,182973,True,53,0.41,0.864,11,-2.855,1,0.314,0.044,0.0,0.593,0.677,180.24
The Sound of Hip Hop,1NHwvBmrUje4L1dxfWnXCH,Put Your Hands Where My Eyes Could See (feat. Jamal),"['Busta Rhymes', 'Jamal']",When Disaster Strikes...,1997-01-01,1997,194293,True,65,0.906,0.623,1,-6.711,0,0.303,0.00864,4.19e-06,0.0753,0.715,99.498
The Sound of Hip Hop,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,"['Dr. Dre', 'Eminem']",2001,1999-11-16,1999,222293,True,82,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974
The Sound of Hip Hop,0UN5OvKlbg06LnZyVk48ll,Loungin (Who Do Ya Luv) - Remix,"['LL COOL J', 'Total']",Mr. Smith (Deluxe Edition),1995-11-21,1995,229373,True,62,0.817,0.584,7,-9.785,1,0.174,0.432,0.00609,0.225,0.501,99.947
The Sound of Hip Hop,3lGBvPUgO7MJltUnBlOpe9,Mass Appeal,['Gang Starr'],Hard To Earn,1994-03-08,1994,221026,True,66,0.808,0.726,10,-8.435,0,0.252,0.0208,0.276,0.129,0.616,96.12
