playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Modern Rock,7MfNoHB8JRNbSQ8P3eAfMQ,T-Shirt Weather,['Circa Waves'],Young Chasers (Deluxe),2015-03-30,2015,192120,False,64,0.421,0.95,4,-4.603,1,0.0662,0.00145,1.1e-05,0.245,0.472,160.02
The Sound of Modern Rock,3K94Fd5ZQkPCW8wV6oyk22,Don't Delete The Kisses,['Wolf Alice'],Visions Of A Life,2017-09-29,2017,275226,False,63,0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032
The Sound of Modern Rock,5lRzWDEe7UuedU2QPsFg0K,The Funeral,['Band of Horses'],Everything All The Time,2006-03-21,2006,322173,False,74,0.319,0.757,0,-6.117,0,0.0432,0.016,0.0,0.102,0.101,122.465
The Sound of Modern Rock,0BRHnOFm6sjxN1i9LJrUDu,The Anthem,['Good Charlotte'],The Young and The Hopeless,2002-10-04,2002,175093,False,77,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751
The Sound of Modern Rock,7lgYfxx7ommrhxdCixLwMh,Munich,['Editors'],The Back Room,2005-01-01,2005,226240,False,38,0.193,0.884,7,-4.402,0,0.0533,0.000474,0.0518,0.293,0.386,149.303
The Sound of Modern Rock,20uVZbYFKshjrdDHcVy9w9,Come Closer,['Miles Kane'],Colour Of The Trap,2011-05-02,2011,179240,False,55,0.511,0.696,6,-5.157,0,0.0421,0.0272,0.000249,0.0875,0.788,164.614
The Sound of Modern Rock,6INztpNwOTlfSKTuPo0HOP,The Alcott (feat. Taylor Swift),"['The National', 'Taylor Swift']",First Two Pages of Frankenstein,2023-04-28,2023,267773,False,73,0.368,0.463,0,-10.595,1,0.0302,0.811,0.0017,0.109,0.447,156.008
The Sound of Modern Rock,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,['Glass Animals'],Dreamland,2020-08-07,2020,238805,False,90,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
The Sound of Modern Rock,0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,['Sum 41'],Does This Look Infected?,2002-01-01,2002,158733,True,75,0.431,0.95,7,-4.918,1,0.26,0.00105,3.63e-05,0.272,0.56,191.936
The Sound of Modern Rock,7yoBjKO6cCnK3zV8gr1k4e,Lydia,['Highly Suspect'],Mister Asylum,2015-07-17,2015,242560,True,66,0.417,0.706,6,-4.652,0,0.0945,0.00933,0.000572,0.474,0.512,127.884
