playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Rock,5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,['Billy Joel'],An Innocent Man,1983-08-08,1983,197706,False,84,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993
The Sound of Rock,6BD1X1PeV5UzYUdiVaD2yL,Show Me The Way,['Peter Frampton'],Frampton,1975-01-01,1975,243266,False,69,0.7,0.726,2,-7.717,1,0.0329,0.434,1.1e-06,0.0963,0.641,130.109
The Sound of Rock,37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,['Dire Straits'],Dire Straits,1978-10-07,1978,348400,False,84,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174
The Sound of Rock,51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),['Deftones'],White Pony,2000-05-16,2000,299533,False,81,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581
The Sound of Rock,43btz2xjMKpcmjkuRsvxyg,Jack & Diane,['John Mellencamp'],American Fool,1982-01-01,1982,254493,False,76,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965
The Sound of Rock,5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,['Papa Roach'],Infest,2001-04-25,2001,199906,True,84,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598
The Sound of Rock,55mJleti2WfWEFNFcBduhc,Schism,['TOOL'],Lateralus,2001-05-15,2001,403533,False,73,0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441
The Sound of Rock,6dNJ3lasVLPd0078T9yqlm,Joker And The Thief,['Wolfmother'],Wolfmother,2005-01-01,2005,279666,False,65,0.264,0.8,0,-2.427,1,0.0537,0.0195,0.00744,0.406,0.465,155.558
The Sound of Rock,7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,['Bruce Springsteen'],Born In The U.S.A.,1984-06-04,1984,241306,False,83,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723
The Sound of Rock,4W4wYHtsrgDiivRASVOINL,Love Shack,"[""The B-52's""]",Cosmic Thing,1989-06-23,1989,320680,False,73,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608
