playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Country,37KWffCdnLyHqvhugCQNM6,"Next To You, Next To Me",['Shenandoah'],Now And Then,1996-01-01,1996,205733,False,62,0.65,0.712,8,-8.25,1,0.0253,0.418,2.28e-05,0.04,0.921,94.292
The Sound of Country,4AQWKGBWTR7fVuUKxi5sKE,Mud on the Tires,['Brad Paisley'],Mud On The Tires,2003-01-01,2003,208266,False,65,0.445,0.744,2,-7.978,1,0.0424,0.343,6.73e-05,0.167,0.48,185.199
The Sound of Country,0oP29136UYddJ9DnGpKKQg,I Will... But,['SHeDAISY'],The Whole Shebang,1999-01-01,1999,219973,False,38,0.675,0.837,2,-5.105,1,0.0354,0.103,0.0,0.123,0.888,112.53
The Sound of Country,212BpQ14gz23ewVKFydbVN,Everything's Gonna Be Alright,"['David Lee Murphy', 'Kenny Chesney']",No Zip Code,2018-04-06,2018,229573,False,59,0.764,0.587,5,-7.002,0,0.0298,0.0721,6.46e-06,0.094,0.495,89.981
The Sound of Country,4wFUdSCer8bdQsrp1M90sa,Highway Don't Care,"['Tim McGraw', 'Taylor Swift', 'Keith Urban']",Two Lanes Of Freedom,2013-01-01,2013,276880,False,69,0.47,0.79,2,-5.352,1,0.039,0.0216,0.0,0.0863,0.495,158.061
The Sound of Country,7C04W8ooqQD3vWKUSzeYnz,Go Rest High On That Mountain,['Vince Gill'],When Love Finds You,1994-01-01,1994,315973,False,60,0.325,0.143,2,-12.218,1,0.033,0.469,0.000221,0.101,0.179,110.823
The Sound of Country,3eImv2yaar3rkAUwqEbIml,It's A Heartache,['Trick Pony'],R.I.D.E.,2005-08-23,2005,209200,False,34,0.558,0.818,0,-3.973,1,0.032,0.0519,0.0,0.334,0.553,119.98
The Sound of Country,31zLkaElQKtj8hDigVB31n,I Think About You,['Collin Raye'],I Think About You,1995-08-22,1995,206506,False,50,0.695,0.732,0,-6.579,1,0.0258,0.243,0.0,0.107,0.849,120.737
The Sound of Country,02eD9ymfJOJOhM97HYp5R9,The House That Built Me,['Miranda Lambert'],Revolution,2009-09-24,2009,236626,False,69,0.525,0.3,5,-8.005,1,0.0286,0.578,8.3e-06,0.116,0.206,80.993
The Sound of Country,790HdFZdub1eobl2iLzcem,Y'all Come Back Saloon,['The Oak Ridge Boys'],You're The One,1977-01-01,1977,174693,False,57,0.694,0.294,2,-17.535,1,0.0477,0.0499,7.76e-06,0.0887,0.698,82.793
The Sound of Country,7t3yEWJXS4ZZE64JyJDJIg,DONE.,['The Band Perry'],Pioneer,2013-01-01,2013,205266,False,52,0.65,0.89,1,-2.995,1,0.0366,0.322,0.0,0.0543,0.757,100.053
The Sound of Country,4bVuIlGQBMWS7vIhcx8Ae4,What Hurts The Most,['Rascal Flatts'],Me And My Gang,2006-01-01,2006,214106,False,72,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002
The Sound of Country,63u5QGp9dKXAoYTVKUKBYn,Watching Airplanes,['Gary Allan'],Living Hard,2007-01-01,2007,242946,False,63,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001
The Sound of Country,7B6m8tHAYZsOKOKMU5SR2n,Take A Back Road,['Rodney Atkins'],Take A Back Road,2011-10-04,2011,209426,False,67,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902
The Sound of Country,6TefPQD0oc88BNALpu4U87,Must Be Doin' Somethin' Right,['Billy Currington'],Doin' Somethin' Right,2005-01-01,2005,269586,False,68,0.489,0.647,9,-3.424,1,0.027,0.205,0.0,0.0504,0.436,167.792
The Sound of Country,6wgmBRzbeAcv8WVHepgmtR,I Brake For Brunettes,['Rhett Akins'],A Thousand Memories,1995-01-01,1995,203106,False,42,0.7,0.861,4,-7.922,0,0.0364,0.255,0.0,0.131,0.93,124.681
The Sound of Country,19ZzEzb4BVK1wVO4brrmZz,Beers On Me,"['Dierks Bentley', 'BRELAND', 'HARDY']",Beers On Me,2021-07-29,2021,174680,False,71,0.59,0.846,4,-4.251,1,0.0396,0.182,0.0,0.53,0.733,146.028
The Sound of Country,59XR99m4eEQQZ7d2hcTogz,Queen of Memphis - Remastered Version,['Confederate Railroad'],Confederate Railroad,1992-04-28,1992,199506,False,50,0.604,0.803,7,-7.033,1,0.0361,0.207,3.94e-05,0.24,0.842,151.472
The Sound of Country,7mo8P3F0WJ2TMt1eXqGU06,Beers And Sunshine,['Darius Rucker'],Carolyn's Boy,2023-10-06,2023,178306,False,64,0.513,0.648,5,-5.744,1,0.0336,0.136,0.0,0.16,0.687,162.063
The Sound of Country,7vF3xkCMvZjAe2nTWY0uQZ,Made For You,['Jake Owen'],Greetings From...Jake,2019-03-29,2019,238400,False,70,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125
The Sound of Country,4DOycXfankFRhhIUvBMdFP,Jacob's Ladder,['Mark Wills'],Mark Wills,1996-01-01,1996,185733,False,50,0.593,0.536,2,-8.972,1,0.0256,0.0576,0.0,0.211,0.616,77.451
The Sound of Country,339hc1FygD8oJl4kg24IjG,Carlene,['Phil Vassar'],Phil Vassar,2000-02-21,2000,246240,False,43,0.587,0.88,4,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222
The Sound of Country,43Z2NVNkX2TuDymLQ89pI2,International Harvester,['Craig Morgan'],Little Bit Of Life,2006-10-31,2006,228653,False,63,0.699,0.837,2,-5.173,1,0.0428,0.103,0.0,0.231,0.348,95.493
The Sound of Country,2UZoYhVfHAeCx234JxEY5m,Everything I Shouldn't Be Thinking About,['Thompson Square'],Just Feels Good,2013-03-26,2013,178466,False,39,0.68,0.947,8,-3.703,1,0.0338,0.0433,1.18e-05,0.204,0.895,115.983
The Sound of Country,5XsFHtfZJ8yHRWvKK4uQWO,Let There Be Cowgirls,['Chris Cagle'],Back In The Saddle,2012-06-26,2012,273480,False,53,0.537,0.788,11,-5.557,1,0.0362,0.0892,1.27e-06,0.164,0.727,161.991
The Sound of Country,4FFGa0VCjKmwVjGebvOqVR,Life Turned Her That Way,['Ricky Van Shelton'],Super Hits,1987-01-01,1987,201666,False,43,0.571,0.273,8,-13.656,1,0.0244,0.37,6.51e-05,0.0967,0.406,78.436
